"RenderingName","NextComponentName","RenderingPath","RenderingDefinitionId","DatasourceLocation","DatasourceTemplate","Editable","ParametersTemplate"
"Login Menu","LoginMenu","/sitecore/layout/Renderings/Feature/Accounts/Login Menu","28bd7068-7ff6-4ce6-98e6-85cfe9967e14","","","",""
"Logo","Logo","/sitecore/layout/Renderings/Feature/Identity/Logo","a47c8288-7d4c-45ff-b75f-4aedbf58a02d","/sitecore/content/Habitat/Settings/Datasources/identity","/sitecore/templates/Feature/Identity/_Identity","",""
"Main Navigation","MainNavigation","/sitecore/layout/Renderings/Project/Common/Main Navigation","e26a158b-fa1e-4e9b-8622-e4458243ff46","","","",""
"Main Navigation Activity","MainNavigationActivity","/sitecore/layout/Renderings/Project/Common/Main Navigation Activity","8832ba30-99c3-4d20-9b1c-237d910a153f","","","",""
"Menu with links","MenuWithLinks","/sitecore/layout/Renderings/Feature/Navigation/Menu with links","69b9c355-004b-4268-bb1e-2f725b8752b7","/sitecore/content/Habitat/Settings/Datasources/linkmenu","/sitecore/templates/Feature/Navigation/_NavigationRoot","",""
"Navigation Links","NavigationLinks","/sitecore/layout/Renderings/Feature/Navigation/Navigation Links","f366fba9-ef26-4007-988a-63cb64649c46","/sitecore/content/Habitat/Settings/Datasources/linkmenu","/sitecore/templates/Feature/Navigation/_NavigationRoot","",""
"News Article","NewsArticle","/sitecore/layout/Renderings/Feature/News/News Article","f366176e-2c2b-4af2-b356-bcf8bd657c58","/sitecore/content/Habitat/Settings/Datasources/newsarticle","/sitecore/templates/Project/Habitat/Page Types/News Article","",""
"News Content Header Title","NewsContentHeaderTitle","/sitecore/layout/Renderings/Feature/News/News Content Header Title","abcb6064-2121-4a38-986c-4a21323226ab","","","",""
"News List","NewsList","/sitecore/layout/Renderings/Feature/News/News List","6d309fc1-d6b1-43b1-a31c-1fecb7b9303f","/sitecore/content/Habitat/Settings/Datasources/newslist","/sitecore/templates/Project/Habitat/Page Types/News List","",""
"News Related Content","NewsRelatedContent","/sitecore/layout/Renderings/Feature/News/News Related Content","692e10b7-6e59-4253-bd64-9a2633fd735f","","","",""
"Page Body","PageBody","/sitecore/layout/Renderings/Feature/PageContent/Page Body","914673dc-fc44-4660-b6eb-ff421faac2f9","/sitecore/content/Habitat/Settings/Datasources/pagecontent","/sitecore/templates/Feature/PageContent/_HasPageContent","",""
"Page Content Header Title","PageContentHeaderTitle","/sitecore/layout/Renderings/Feature/PageContent/Page Content Header Title","45b8e1d9-d522-49e0-b9b7-04c965cc7089","/sitecore/content/Habitat/Settings/Datasources/pagecontent","/sitecore/templates/Feature/PageContent/_HasPageContent","",""
"Page Header","PageHeader","/sitecore/layout/Renderings/Project/Common/Page Header","a2216ca7-b205-4042-a345-72117d0086c3","","","","{4654D5F0-9B39-426A-992D-1D42E356FB0A}"
"Page Header with Media","PageHeaderWithMedia","/sitecore/layout/Renderings/Feature/Media/Page Header with Media","26b33deb-f1db-4338-b043-aaf2f90e04a3","","","","{B962A806-D708-4001-B0A3-3FA31F2263C5}"
"Page Image Header","PageImageHeader","/sitecore/layout/Renderings/Feature/PageContent/Page Image Header","359a65bb-0a2c-44e5-8c34-df3acdbb42a7","/sitecore/content/Habitat/Settings/Datasources/pagecontent","/sitecore/templates/Feature/PageContent/_HasPageContent","",""
"Page Title","PageTitle","/sitecore/layout/Renderings/Feature/PageContent/Page Title","695cee74-d8f4-481d-b813-237050809290","","","",""
"Paged Search Results","PagedSearchResults","/sitecore/layout/Renderings/Feature/Search/Paged Search Results","e52d0ae8-2989-44e5-bea1-ea30c17b2080","","","","{D1D3E60F-E571-48D2-84CF-B053EE660C13}"
"Primary Menu","PrimaryMenu","/sitecore/layout/Renderings/Feature/Navigation/Primary Menu","53b085db-6824-4941-9f28-9011cb151832","","","1",""
"Register","Register","/sitecore/layout/Renderings/Feature/Accounts/Register","b683efb4-161d-4fdf-9a90-cc8637766c9c","","","",""
"Sample Inner Sublayout","SampleInnerSublayout","/sitecore/layout/Sublayouts/Sample Inner Sublayout","ce4adcfb-7990-4980-83fb-a00c1e3673db","","","",""
"Sample Rendering","SampleRendering","/sitecore/layout/Renderings/Sample/Sample Rendering","493b3a83-0fa7-4484-8fc9-4680991cf743","","","",""
"Sample Sublayout","SampleSublayout","/sitecore/layout/Sublayouts/Sample Sublayout","885b8314-7d8c-4cbb-8000-01421ea8f406","","","",""
"Search Facets","SearchFacets","/sitecore/layout/Renderings/Feature/Search/Search Facets","73a3c967-2f70-4847-8b7c-0c214a91ff79","","","","{D1D3E60F-E571-48D2-84CF-B053EE660C13}"
"Search Results Header","SearchResultsHeader","/sitecore/layout/Renderings/Feature/Search/Search Results Header","d1aad687-8b93-44c8-9011-8e8ce2dd281f","/sitecore/content/Habitat/Settings/Datasources/searchsettings","{14E452CA-064D-48A8-9FF2-2744D10437A1}","","{D1D3E60F-E571-48D2-84CF-B053EE660C13}"
"Secondary Menu","SecondaryMenu","/sitecore/layout/Renderings/Feature/Navigation/Secondary Menu","3f7ad288-fa57-441f-ad79-ca60dc0c0a8d","","","",""
"Section","Section","/sitecore/layout/Renderings/Project/Common/Section","d201a487-5099-48a1-8189-55944f70c6cb","","","","{4654D5F0-9B39-426A-992D-1D42E356FB0A}"
"Section with Media","SectionWithMedia","/sitecore/layout/Renderings/Feature/Media/Section with Media","1149a3c7-c69a-4e6b-a6c3-32687ec2f8d4","","","","{B962A806-D708-4001-B0A3-3FA31F2263C5}"
"Site Menu","SiteMenu","/sitecore/layout/Renderings/Feature/Multisite/Site Menu","604ecbb6-2bbf-45af-ac6e-ba9f853e7a03","","","",""
"Text Message","TextMessage","/sitecore/layout/Renderings/System/Email/Text Message","d169744b-6343-45d8-831e-658e8560e9cb","","","",""
"xDB Panel","XdbPanel","/sitecore/layout/Renderings/Feature/Demo/xDB Panel","ced18f24-62c2-445e-b0d9-045e3325297b","","","",""
